Value,LastModifiedDateUTC
"Bon Homme County, South Dakota",2019-06-04 22:00:14.557
"Bond County, Illinois",2019-06-04 22:00:14.557
"Bonner County, Idaho",2019-06-04 22:00:14.557
"Bonneville County, Idaho",2019-06-04 22:00:14.557
"Boone County, Arkansas",2019-06-04 22:00:14.557
"Boone County, Illinois",2019-06-04 22:00:14.557
"Boone County, Indiana",2019-06-04 22:00:14.557
"Boone County, Iowa",2019-06-04 22:00:14.557
"Boone County, Kentucky",2019-06-04 22:00:14.557
"Boone County, Missouri",2019-06-04 22:00:14.557
"Boone County, Nebraska",2019-06-04 22:00:14.557
"Boone County, West Virginia",2019-06-04 22:00:14.557
"Borden County, Texas",2019-06-04 22:00:14.557
"Bosque County, Texas",2019-06-04 22:00:14.557
"Bossier Parish, Louisiana",2019-06-04 22:00:14.557
"Botetourt County, Virginia",2019-06-04 22:00:14.557
"Bottineau County, North Dakota",2019-06-04 22:00:14.557
"Boulder County, Colorado",2019-06-04 22:00:14.557
"Boundary County, Idaho",2019-06-04 22:00:14.557
"Bourbon County, Kansas",2019-06-04 22:00:14.557
"Bourbon County, Kentucky",2019-06-04 22:00:14.557
"Bowie County, Texas",2019-06-04 22:00:14.557
"Bowman County, North Dakota",2019-06-04 22:00:14.557
"Box Butte County, Nebraska",2019-06-04 22:00:14.557
"Box Elder County, Utah",2019-06-04 22:00:14.557
"Boyd County, Kentucky",2019-06-04 22:00:14.557
"Boyd County, Nebraska",2019-06-04 22:00:14.557
"Boyle County, Kentucky",2019-06-04 22:00:14.557
"Bracken County, Kentucky",2019-06-04 22:00:14.557
"Bradford County, Florida",2019-06-04 22:00:14.557
"Bradford County, Pennsylvania",2019-06-04 22:00:14.557
"Bradley County, Arkansas",2019-06-04 22:00:14.557
"Bradley County, Tennessee",2019-06-04 22:00:14.557
"Branch County, Michigan",2019-06-04 22:00:14.557
"Brantley County, Georgia",2019-06-04 22:00:14.557
"Braxton County, West Virginia",2019-06-04 22:00:14.557
"Brazoria County, Texas",2019-06-04 22:00:14.557
"Brazos County, Texas",2019-06-04 22:00:14.557
"Breathitt County, Kentucky",2019-06-04 22:00:14.557
"Breckinridge County, Kentucky",2019-06-04 22:00:14.557
"Bremer County, Iowa",2019-06-04 22:00:14.557
"Brevard County, Florida",2019-06-04 22:00:14.557
"Brewster County, Texas",2019-06-04 22:00:14.557
"Briscoe County, Texas",2019-06-04 22:00:14.557
"Bristol Bay Borough, Alaska",2019-06-04 22:00:14.557
"Bristol County, Massachusetts",2019-06-04 22:00:14.557
"Bristol County, Rhode Island",2019-06-04 22:00:14.557
"Bristol, City of, Virginia",2019-06-04 22:00:14.557
"Broadwater County, Montana",2019-06-04 22:00:14.557
"Bronx County, New York",2019-06-04 22:00:14.557
"Brooke County, West Virginia",2019-06-04 22:00:14.557
"Brookings County, South Dakota",2019-06-04 22:00:14.557
"Brooks County, Georgia",2019-06-04 22:00:14.557
"Brooks County, Texas",2019-06-04 22:00:14.557
"Broome County, New York",2019-06-04 22:00:14.557
"Broomfield, City and County of, Colorado",2019-06-04 22:00:14.557
"Broward County, Florida",2019-06-04 22:00:14.557
"Brown County, Illinois",2019-06-04 22:00:14.557
"Brown County, Indiana",2019-06-04 22:00:14.557
"Brown County, Kansas",2019-06-04 22:00:14.557
"Brown County, Minnesota",2019-06-04 22:00:14.557
"Brown County, Nebraska",2019-06-04 22:00:14.557
"Brown County, Ohio",2019-06-04 22:00:14.557
"Brown County, South Dakota",2019-06-04 22:00:14.557
"Brown County, Texas",2019-06-04 22:00:14.557
"Brown County, Wisconsin",2019-06-04 22:00:14.557
"Brule County, South Dakota",2019-06-04 22:00:14.557
"Brunswick County, North Carolina",2019-06-04 22:00:14.557
"Brunswick County, Virginia",2019-06-04 22:00:14.557
"Bryan County, Georgia",2019-06-04 22:00:14.557
"Bryan County, Oklahoma",2019-06-04 22:00:14.557
"Buchanan County, Iowa",2019-06-04 22:00:14.557
"Buchanan County, Missouri",2019-06-04 22:00:14.557
"Buchanan County, Virginia",2019-06-04 22:00:14.557
"Buckingham County, Virginia",2019-06-04 22:00:14.557
"Bucks County, Pennsylvania",2019-06-04 22:00:14.557
"Buena Vista County, Iowa",2019-06-04 22:00:14.557
"Buena Vista, City of, Virginia",2019-06-04 22:00:14.557
"Buffalo County, Nebraska",2019-06-04 22:00:14.557
"Buffalo County, South Dakota",2019-06-04 22:00:14.557
"Buffalo County, Wisconsin",2019-06-04 22:00:14.557
"Bullitt County, Kentucky",2019-06-04 22:00:14.557
"Bulloch County, Georgia",2019-06-04 22:00:14.557
"Bullock County, Alabama",2019-06-04 22:00:14.557
"Buncombe County, North Carolina",2019-06-04 22:00:14.557
"Bureau County, Illinois",2019-06-04 22:00:14.557
"Burke County, Georgia",2019-06-04 22:00:14.557
"Burke County, North Carolina",2019-06-04 22:00:14.557
"Burke County, North Dakota",2019-06-04 22:00:14.557
"Burleigh County, North Dakota",2019-06-04 22:00:14.557
"Burleson County, Texas",2019-06-04 22:00:14.557
"Burlington County, New Jersey",2019-06-04 22:00:14.557
"Burnet County, Texas",2019-06-04 22:00:14.557
"Burnett County, Wisconsin",2019-06-04 22:00:14.557
"Burt County, Nebraska",2019-06-04 22:00:14.557
"Butler County, Alabama",2019-06-04 22:00:14.557
"Butler County, Iowa",2019-06-04 22:00:14.557
"Butler County, Kansas",2019-06-04 22:00:14.557
"Butler County, Kentucky",2019-06-04 22:00:14.557
"Butler County, Missouri",2019-06-04 22:00:14.557
"Butler County, Nebraska",2019-06-04 22:00:14.557
"Butler County, Ohio",2019-06-04 22:00:14.557
"Butler County, Pennsylvania",2019-06-04 22:00:14.557
"Butte County, California",2019-06-04 22:00:14.557
"Butte County, Idaho",2019-06-04 22:00:14.557
"Butte County, South Dakota",2019-06-04 22:00:14.557
"Butts County, Georgia",2019-06-04 22:00:14.557
"Cabarrus County, North Carolina",2019-06-04 22:00:14.557
"Cabell County, West Virginia",2019-06-04 22:00:14.557
"Cache County, Utah",2019-06-04 22:00:14.557
"Caddo County, Oklahoma",2019-06-04 22:00:14.557
"Caddo Parish, Louisiana",2019-06-04 22:00:14.557
